Time Step,ID,Label (NA),Voxel count (NA),Volume,Surface Area,Volume/Surface Area (interpolated) ,Surface Area (pixel-wise),Volume/Surface Area (pixel-wise),Surface Area X / 2 ,Surface Area Y / 2,Surface Area Z / 2,Surface Area X,Surface Area Y,Surface Area Z,Phi,Theta,Aspect Ratio (NA),Center Of Mass X,Center Of Mass Y,Center Of Mass Z,Min Location X,Min Location Y,Min Location Z,Max Location X,Max Location Y,Max Location Z,Min Feret Diameter,Mean Feret Diameter,Max Feret Diameter,Min Ortho Feret Diameter,Min Ortho/Max Feret Diameter (NA)
0,18,1,246,1334.51833,628.8077541,2.122299417,932.3949238,1.431280132,148.1952197,169.8070226,148.1952197,296.3904394,339.6140451,296.3904394,77.66152745,147.2456065,0.685285353,876.5429061,777.5667488,149.0463646,868.88595,770.48835,141.44655,882.94275,782.78805,157.26045,12.2996862,16.53062897,17.65775716,13.95825802,0.790488729
0,17,2,115,623.8601949,407.774584,1.529914368,598.9556795,1.041579897,89.53461189,111.1464148,98.79681312,179.0692238,222.2928295,197.5936262,142.5293682,166.4171833,0.640456353,869.4283591,767.623513,148.4520313,863.61465,763.45995,141.44655,875.91435,772.24545,155.50335,8.785515092,13.22654593,15.50442027,10.49242886,0.676737903
0,16,3,153,830.0053028,477.8523985,1.73694912,722.4516959,1.148873077,145.1078193,98.79681312,117.3212156,290.2156385,197.5936262,234.6424312,64.6399377,151.1075987,0.667406159,863.2528941,777.6488196,157.3465824,858.34335,770.48835,150.23205,870.64305,784.54515,164.28885,9.767497138,15.19366254,17.30407364,11.77530895,0.68049346
0,15,4,314,1703.409576,782.0169121,2.178226007,1179.386957,1.444317801,169.8070226,219.2054291,200.6810267,339.6140451,438.4108582,401.3620533,43.22201036,156.5361258,0.732547847,870.7717548,790.454378,160.0583799,861.85755,782.78805,150.23205,879.42855,796.84485,167.80305,14.05680086,17.96508282,20.48893087,14.42946459,0.70425659
0,14,5,742,4025.254475,1461.3191,2.75453491,2198.229092,1.831135112,355.0510472,376.66285,367.4006488,710.1020943,753.3257,734.8012976,57.2473937,165.6618238,0.726446227,886.5942974,793.9629218,152.4225049,870.64305,781.03095,139.68945,896.99955,803.87325,164.28885,20.68603969,25.41338827,28.27502525,22.185073,0.784617266
0,13,6,899,4876.959263,1622.401129,3.006013233,2482.26993,1.964717537,410.6242545,395.1872525,435.3234578,821.2485091,790.374505,870.6469156,35.44763475,154.4679065,0.66431416,892.2491256,782.9492967,138.0075984,877.67145,770.48835,127.38975,902.27085,795.08775,148.47495,20.08292423,24.54843278,29.07472075,21.03166899,0.723366156
0,12,7,1954,10600.19844,2829.556165,3.746240691,4167.990554,2.543239556,648.3540861,626.7422832,808.8989074,1296.708172,1253.484566,1617.797815,31.18314656,122.0770951,0.610195174,881.2414024,765.944529,129.0892991,867.12885,749.40315,116.84715,900.51375,786.30225,144.96075,24.71056532,29.0868281,37.9283718,26.34689063,0.694648607
0,11,8,3351,18178.74359,4207.753183,4.320297033,6310.646438,2.88064682,1148.512953,873.734316,1133.07595,2297.025905,1747.468632,2266.151901,86.12626022,91.12078676,0.596579322,855.2793053,763.6741474,134.0938389,840.77235,744.13185,118.60425,872.40015,788.05935,155.50335,31.62777284,38.66750742,46.1127179,35.14929119,0.762247224
0,10,9,6623,35928.92236,6818.310775,5.269475614,10163.72215,3.535016191,1762.905634,1556.049807,1762.905634,3525.811268,3112.099613,3525.811268,119.3021762,60.20196002,0.63684262,841.0425608,784.660424,153.6885467,823.20135,752.91735,125.63265,863.61465,805.63035,178.34565,37.92831503,50.72248482,56.58147696,37.99229285,0.671461667
0,9,10,13135,71255.68401,10848.43346,6.568292486,16184.15295,4.402805895,2426.696722,2892.894184,2772.485568,4853.393445,5785.788368,5544.971136,102.3613522,163.9641493,0.631399176,860.3430462,818.1414772,161.7537968,830.22975,793.33065,120.36135,895.24245,840.77235,190.64535,44.73234271,68.5779413,75.37338446,47.69828269,0.632826601
0,8,11,14950,81101.82534,12446.23419,6.516173819,18462.65445,4.39275,2787.92257,2933.03039,3510.374266,5575.84514,5866.060779,7020.748532,58.13716691,41.25229118,0.548025311,894.8556529,823.9690675,137.579167,860.10045,786.30225,104.54745,926.87025,847.80075,180.10275,54.26328206,76.24330331,84.3608095,49.37859219,0.585326202
0,7,12,20977,113797.5244,15723.72584,7.237312937,23371.6211,4.86904712,3099.750012,3559.772673,5026.287867,6199.500023,7119.545345,10052.57573,14.58812754,10.32931216,0.554658497,909.4982294,797.3629671,105.7302278,854.82915,758.18865,78.19095,947.95545,835.50105,137.93235,51.7232514,74.02303834,93.85757191,56.09015768,0.597609298
0,6,13,33416,181277.498,22872.75277,7.925477963,33189.55441,5.461884056,4408.807785,4560.090406,7625.879013,8817.615571,9120.180811,15251.75803,170.6179413,147.5231723,0.497581698,883.6350524,755.7805775,85.73187256,837.25815,712.50405,60.61995,942.68415,809.14455,122.11845,55.2069789,79.01760026,115.9622771,61.2066252,0.527814965
0,5,14,48046,260643.3646,29747.73278,8.761789226,43433.54897,6.000968624,7625.879013,5020.113067,9070.782405,15251.75803,10040.22613,18141.56481,59.96755342,97.82466701,0.496052901,822.0549159,747.0650433,104.2226977,789.81645,691.41885,67.64835,875.91435,817.93005,160.77465,61.83479589,98.78291843,127.6520781,62.28731042,0.487945918
0,4,15,80112,434597.2864,44875.88364,9.684428498,65798.67754,6.60495473,10657.70622,9188.10362,13053.52893,21315.41243,18376.20724,26107.05787,146.9457443,61.52494448,0.520333579,780.6305184,785.2597286,139.2192494,723.04665,691.41885,81.70515,837.25815,842.52945,194.15955,93.21580021,121.7444183,155.6411041,82.07071769,0.527307475
0,3,16,137454,745670.2542,67832.0765,10.99288556,99976.20008,7.458477654,13180.11235,15875.41291,20932.57478,26360.2247,31750.82582,41865.14956,147.5727792,12.12007298,0.560775729,800.9349581,860.3987968,170.6885218,717.77535,782.78805,85.21935,875.91435,921.59895,232.81575,119.4176366,155.8180115,178.8533814,126.3571451,0.706484519
0,2,17,367194,1991980.178,123123.6728,16.1786936,179229.7686,11.11411454,21818.6587,29515.54792,38280.67768,43637.31739,59031.09584,76561.35537,95.7884788,95.85004939,0.627210435,896.0689034,921.7912771,142.2230076,795.08775,835.50105,48.32025,1004.18265,1021.75365,231.05865,169.7711412,215.6457551,243.3086867,129.5732133,0.532546598
0,1,18,260666,1414079.492,121850.6913,11.60501821,177661.3692,7.95940895,16588.6024,40710.46181,31531.62039,33177.20481,81420.92361,63063.24077,12.28811432,38.41480345,0.426122033,967.9125282,863.512156,62.49494003,830.22975,766.97415,13.17825,1070.95245,984.85455,127.38975,107.5193871,188.2736922,257.044108,111.9819562,0.435652686
